ts,Temperature,Flow,Pressure,AccumulateFlow
2023-08-04 13:56:28+00:00,28.5,87,4.4,567
2023-08-04 13:08:46+00:00,25.2,48,1.7,279
2023-08-04 12:23:46+00:00,34.3,47,4.6,379
2023-08-04 14:01:13+00:00,21.4,11,4.6,916
2023-08-04 12:20:15+00:00,28.9,21,3.6,672
2023-06-14 14:12:33+00:00,26.6,0,1.6,830
2023-06-14 13:50:11+00:00,27.8,62,3.51,250
2023-08-06 16:34:56+00:00,23.0,15,3.0,77
2023-08-06 16:35:07+00:00,28.1,85,2.0,535
2023-08-06 16:35:14+00:00,30.5,84,4.5,43
2023-08-06 16:38:21+00:00,30.3,33,3.4,354
2023-08-07 08:52:06+00:00,24.1,98,1.7,88
2023-08-07 08:57:47+00:00,31.2,84,2.5,608
2023-06-14 14:15:28+00:00,27.0,65,4.79,900
2023-06-14 13:54:18+00:00,27.0,52,3.5,390
2023-06-14 13:54:42+00:00,27.0,28,3.5,400
2023-06-14 13:54:54+00:00,27.0,32,3.5,400
2023-06-14 13:55:08+00:00,27.0,50,3.5,410
2023-06-14 13:56:11+00:00,27.0,29,3.5,440
2023-06-14 13:56:25+00:00,27.0,30,3.5,440
2023-06-14 13:56:39+00:00,27.0,30,3.5,450
2023-06-14 13:56:49+00:00,27.0,22,3.5,450
2023-06-14 13:56:56+00:00,27.0,0,3.5,450
2023-06-14 13:57:03+00:00,27.0,37,3.5,460
2023-06-14 13:57:15+00:00,27.0,0,3.5,460
2023-06-14 13:57:18+00:00,27.0,44,3.5,460
2023-06-14 13:57:22+00:00,27.0,0,3.5,460
2023-06-14 13:57:29+00:00,27.0,32,3.5,460
2023-06-14 13:57:32+00:00,27.0,45,3.5,470
2023-06-14 13:57:46+00:00,27.0,53,3.5,470
2023-06-14 13:57:50+00:00,27.0,0,3.5,470
2023-06-14 13:57:53+00:00,27.0,22,3.5,470
2023-06-14 13:57:57+00:00,27.0,42,3.5,470
2023-06-14 13:58:00+00:00,27.0,41,3.5,470
2023-06-14 13:58:07+00:00,27.0,25,3.5,480
2023-06-14 13:58:14+00:00,27.0,39,3.5,480
2023-06-14 13:58:21+00:00,27.0,26,3.5,480
2023-06-14 13:58:53+00:00,27.0,34,3.5,490
2023-06-14 13:59:22+00:00,27.0,21,3.5,500
2023-06-14 13:59:50+00:00,27.0,31,3.5,510
2023-06-14 13:59:58+00:00,27.0,37,3.5,510
2023-06-14 14:00:01+00:00,27.0,33,3.5,510
2023-06-14 14:00:07+00:00,27.0,0,3.5,520
2023-06-14 14:00:14+00:00,27.0,30,3.5,520
2023-06-14 14:00:42+00:00,27.0,43,3.5,530
2023-06-14 14:00:46+00:00,27.0,22,3.5,530
2023-06-14 14:00:50+00:00,27.0,20,3.5,530
2023-06-14 14:01:24+00:00,27.0,31,3.5,540
